Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Interactive and&#xa0;Provenance-Aware Search and&#xa0;QA over&#xa0;Documents Using LLMs, RAG and&#xa0;Knowledge Graph Verbalization",New Trends in Theory and Practice of Digital Libraries,,,,10.1007/978-3-032-06136-2_24,Iordanis SapidisValantis ZervosMichalis MountantonakisYannis Tzitzikas,2026,https://link.springer.com/chapter/10.1007/978-3-032-06136-2_24,Conference paper
XLR-KGDD: leveraging LLM and RAG for knowledge graph-based explainable disease diagnosis using multimodal clinical information,Knowledge and Information Systems,,,,10.1007/s10115-025-02465-8,Punam BediAnjali ThukralShivani Dhiman,2025,https://link.springer.com/article/10.1007/s10115-025-02465-8,Article
A Graph RAG Approach to Enhance Explainability in Dataset Discovery,Data Science and Engineering,,,,10.1007/s41019-025-00313-x,Claudia DiamantiniAlessandro MeleAlex MircoliDomenico PotenaCristina RossettiEmanuele Storti,2025,https://link.springer.com/article/10.1007/s41019-025-00313-x,Article
A Knowledge Graph Approach Towards Detecting Large Language Model Hallucination,"Modelling, Computation and Optimization in Information Systems and Management Sciences",,,,10.1007/978-3-032-08384-5_19,Thomas S. WinterJan H. van Vuuren,2026,https://link.springer.com/chapter/10.1007/978-3-032-08384-5_19,Conference paper
Enhancing QA Systems with Knowledge Graphs and LLMS: A Case Study in Vietnamese,Proceedings of Data Analytics and Management,,,,10.1007/978-3-032-03558-5_7,A. Nguyen Thi ThuyTieu Phung Mai SuongChien D. C. TaNguyen Hong VuNguyen Phuoc Dai,2026,https://link.springer.com/chapter/10.1007/978-3-032-03558-5_7,Conference paper
"GraphWiseLearn: Personalized Learning Through Semantified TEL, Leveraging QA-Enhanced LLM-Generated Content",The Semantic Web: ESWC 2024 Satellite Events,,,,10.1007/978-3-031-78955-7_8,Wolfgang Fahl,2025,https://link.springer.com/chapter/10.1007/978-3-031-78955-7_8,Conference paper
Knowledge Injection to&#xa0;Counter Large Language Model (LLM) Hallucination,The Semantic Web: ESWC 2023 Satellite Events,,,,10.1007/978-3-031-43458-7_34,Ariana MartinoMichael IannelliColeen Truong,2023,https://link.springer.com/chapter/10.1007/978-3-031-43458-7_34,Conference paper
ProSLM: A Prolog Synergized Language Model for&#xa0;explainable Domain Specific Knowledge Based Question Answering,Neural-Symbolic Learning and Reasoning,,,,10.1007/978-3-031-71170-1_23,Priyesh VakhariaAbigail KufeldtMax MeyersIan LaneLeilani H. Gilpin,2024,https://link.springer.com/chapter/10.1007/978-3-031-71170-1_23,Conference paper
Entropy-Guided Probing for&#xa0;Predicting LLM Hallucinations with&#xa0;Knowledge Graph Features,Database and Expert Systems Applications,,,,10.1007/978-3-032-02049-9_5,Ushtar AliSteven LyndenAkiyoshi MatonoToshiyuki Amagasa,2026,https://link.springer.com/chapter/10.1007/978-3-032-02049-9_5,Conference paper
Fact-Driven Health Information Retrieval: Integrating LLMs and&#xa0;Knowledge Graphs to&#xa0;Combat Misinformation,Advances in Information Retrieval,,,,10.1007/978-3-031-88714-7_17,Gian Carlo MilaneseGeorgios PeikosGabriella PasiMarco Viviani,2025,https://link.springer.com/chapter/10.1007/978-3-031-88714-7_17,Conference paper
A Multi-source Temporal Graph Approach for&#xa0;Reliable Market Forecasting with&#xa0;LLM Synergy,"Knowledge Science, Engineering and Management",,,,10.1007/978-981-95-3061-8_19,Yuting Shi,2026,https://link.springer.com/chapter/10.1007/978-981-95-3061-8_19,Conference paper
Mitigate Hallucinations in&#xa0;LLM’s Understanding of&#xa0;Dynamic Graph: An In-Depth Evaluation and&#xa0;Enhancement,Neural Information Processing,,,,10.1007/978-981-95-4088-4_8,Yuou ChenRuixing ZhangYunqi LiuTongyu ZhuMingzhe LiuWeifeng Lv,2026,https://link.springer.com/chapter/10.1007/978-981-95-4088-4_8,Conference paper
Enhancing LLM-based clinical reasoning in anesthesiology via graph-augmented retrieval and explainable generation,Health Information Science and Systems,,,,10.1007/s13755-025-00379-x,Meng WangYangyang ShenBingcheng ZhaoXuefeng ZhouLan SunXing Liu,2025,https://link.springer.com/article/10.1007/s13755-025-00379-x,Article
LLMs Hallucinate Graphs Too: A Structural Perspective,Complex Networks & Their Applications XIII,,,,10.1007/978-3-031-82427-2_20,Erwan Le MerrerGilles Tredan,2025,https://link.springer.com/chapter/10.1007/978-3-031-82427-2_20,Conference paper
Optimal Number of Topics in Topic Modeling Using Deep Auto Encoder Graph Regularized Non-Negative Matrix Factorization Algorithm,Journal of Systems Science and Systems Engineering,,,,10.1007/s11518-024-5639-3,Pooja KherwaJyoti Arora,2024,https://link.springer.com/article/10.1007/s11518-024-5639-3,Article
Unveiling factuality and injecting knowledge for LLMs via reinforcement learning and data proportion,Science China Information Sciences,,,,10.1007/s11432-024-4158-4,Wenjun KeZiyu ShangZhizhao LuoPeng WangYikai GuoQi LiuYuxuan Chen,2024,https://link.springer.com/article/10.1007/s11432-024-4158-4,Article
